macrorep,simulator,budget,comparison,delta_max_pairwise_score_ks,delta_mean_pairwise_score_ks,delta_bin_mean_score_range
1,raised_floor_gauss,1000,plugin_sd_nw_minus_oracle,0.18,0.07622222222222222,0.058078931728281005
1,raised_floor_gauss,1000,plugin_sd_nw_minus_fixed,-0.02999999999999997,-0.008444444444444449,-0.03349440520503148
1,raised_floor_gauss,1000,oracle_minus_fixed,-0.20999999999999996,-0.08466666666666667,-0.09157333693331249
1,raised_floor_t3,100,plugin_sd_nw_minus_oracle,0.3,0.13711111111111107,0.06614153457445003
1,raised_floor_t3,100,plugin_sd_nw_minus_fixed,-0.050000000000000044,-0.01866666666666672,-0.06370151792950521
1,raised_floor_t3,100,oracle_minus_fixed,-0.35000000000000003,-0.1557777777777778,-0.12984305250395523
1,raised_floor_t3,250,plugin_sd_nw_minus_oracle,0.10999999999999999,0.0711111111111111,0.03156290961907582
1,raised_floor_t3,250,plugin_sd_nw_minus_fixed,-0.14,-0.0633333333333333,-0.09490408912758652
1,raised_floor_t3,250,oracle_minus_fixed,-0.25,-0.1344444444444444,-0.12646699874666234
1,raised_floor_t3,500,plugin_sd_nw_minus_oracle,0.13999999999999996,0.07533333333333331,0.04205717093439046
1,raised_floor_t3,500,plugin_sd_nw_minus_fixed,-0.2300000000000001,-0.07888888888888895,-0.10549981464578784
1,raised_floor_t3,500,oracle_minus_fixed,-0.37000000000000005,-0.15422222222222226,-0.1475569855801783
1,raised_floor_t3,1000,plugin_sd_nw_minus_oracle,0.12999999999999995,0.05755555555555564,0.032754542437494066
1,raised_floor_t3,1000,plugin_sd_nw_minus_fixed,-0.19000000000000006,-0.08488888888888879,-0.10014610504963681
1,raised_floor_t3,1000,oracle_minus_fixed,-0.32,-0.14244444444444443,-0.13290064748713087
2,mm1_sojourn,100,plugin_sd_nw_minus_oracle,0.18,0.06066666666666662,0.04003806911205256
2,mm1_sojourn,100,plugin_sd_nw_minus_fixed,0.12,0.02911111111111106,-0.028769944377633125
2,mm1_sojourn,100,oracle_minus_fixed,-0.06,-0.03155555555555556,-0.06880801348968568
2,mm1_sojourn,250,plugin_sd_nw_minus_oracle,0.06,0.04133333333333329,0.016239330996798695
2,mm1_sojourn,250,plugin_sd_nw_minus_fixed,0.04999999999999999,0.0242222222222222,-0.00032017054398605915
2,mm1_sojourn,250,oracle_minus_fixed,-0.010000000000000009,-0.01711111111111109,-0.016559501540784755
2,mm1_sojourn,500,plugin_sd_nw_minus_oracle,0.03,0.027555555555555555,0.010752074884814042
2,mm1_sojourn,500,plugin_sd_nw_minus_fixed,-0.03,-0.0020000000000000018,-0.012732834988283967
2,mm1_sojourn,500,oracle_minus_fixed,-0.06,-0.029555555555555557,-0.02348490987309801
2,mm1_sojourn,1000,plugin_sd_nw_minus_oracle,0.10999999999999999,0.029777777777777792,0.017952548534370227
2,mm1_sojourn,1000,plugin_sd_nw_minus_fixed,0.12,0.04844444444444444,-0.014929263188650038
2,mm1_sojourn,1000,oracle_minus_fixed,0.010000000000000009,0.01866666666666665,-0.032881811723020266
2,raised_floor_gauss,100,plugin_sd_nw_minus_oracle,0.46,0.20244444444444445,0.10285233110492509
