seed,dgp,arm,cov,size,ncomp,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9
20260938,gamma_ls,pcp_scaled,0.8915,1.0791,5.340,0.8782,0.9180,0.8763,0.9021,0.8818,0.8769,0.8927,0.9116,0.8995,0.8788
20260939,gamma_ls,ET,0.9165,1.0024,1.000,0.9235,0.9040,0.9213,0.8439,0.9476,0.9652,0.8821,0.8719,0.9450,0.9538
20260939,gamma_ls,pcp,0.9055,1.1473,3.485,0.9294,0.8870,0.9167,0.8780,0.8901,0.9348,0.8718,0.8768,0.9404,0.9231
20260939,gamma_ls,pcp_scaled,0.9085,1.1679,3.322,0.9353,0.8927,0.9074,0.8683,0.9058,0.9478,0.8769,0.8768,0.9450,0.9231
20260940,gamma_ls,ET,0.9120,1.0068,1.000,0.8864,0.9474,0.8232,0.9296,0.9137,0.9349,0.9653,0.8813,0.9256,0.9215
20260940,gamma_ls,pcp,0.8905,1.0671,5.253,0.9182,0.9053,0.8990,0.8894,0.8528,0.9053,0.8317,0.8995,0.9070,0.8953
20260940,gamma_ls,pcp_scaled,0.8910,1.0716,5.167,0.9364,0.9053,0.8889,0.8894,0.8528,0.9053,0.8416,0.8904,0.9070,0.8901
20260941,gamma_ls,ET,0.9025,0.9588,1.000,0.9171,0.8932,0.9185,0.9296,0.9000,0.9390,0.9128,0.8654,0.8357,0.9171
20260941,gamma_ls,pcp,0.9100,1.1715,5.021,0.9061,0.9369,0.9076,0.9296,0.8650,0.9343,0.9282,0.9038,0.8792,0.9067
20260941,gamma_ls,pcp_scaled,0.9115,1.1844,4.021,0.9006,0.9417,0.9239,0.9437,0.8800,0.9343,0.9282,0.8942,0.8696,0.8964
20260942,gamma_ls,ET,0.8860,0.9401,1.000,0.9231,0.8715,0.8010,0.8850,0.9415,0.9282,0.8981,0.8826,0.8767,0.8453
20260942,gamma_ls,pcp,0.8885,1.1102,3.543,0.9231,0.9050,0.8827,0.8950,0.9122,0.8995,0.8889,0.9249,0.8539,0.7956
20260942,gamma_ls,pcp_scaled,0.8805,1.1001,4.149,0.9231,0.8994,0.8622,0.8900,0.9122,0.8995,0.8796,0.9296,0.8493,0.7514
20260943,gamma_ls,ET,0.8955,0.9360,1.000,0.9469,0.8743,0.8246,0.8462,0.9207,0.9286,0.8679,0.8889,0.9257,0.9202
20260943,gamma_ls,pcp,0.8880,1.0839,5.211,0.8551,0.9005,0.8772,0.9038,0.8943,0.8929,0.8632,0.9091,0.9109,0.8723
20260943,gamma_ls,pcp_scaled,0.8820,1.0824,4.436,0.8647,0.8848,0.8304,0.8894,0.8987,0.8827,0.8491,0.9141,0.9208,0.8777
20260944,gamma_ls,ET,0.9050,0.9894,1.000,0.8550,0.8834,0.8657,0.9536,0.9372,0.8906,0.9366,0.9058,0.8842,0.9390
20260944,gamma_ls,pcp,0.8975,1.1233,3.557,0.9350,0.8879,0.8209,0.9330,0.9267,0.8906,0.9073,0.8796,0.8474,0.9437
